,text_raw,text_clean,text_raw_len,vader,textblob,distilbert
0,"Alice's Adventures in Wonderland

                ALICE'S ADVENTURES IN WONDERLAND

                          Lewis Carroll

               THE MILLENNIUM FULCRUM EDITION 3.0




                            CHAPTER I

                      Down the Rabbit-Hole


  Alice was beginning to get very tired of sitting by her sister
on the bank, and of having nothing to do:  once or twice she had
peeped into the book her sister was reading, but it had no
pictures or conversations in it, `and what is the use of a book,'
thought Alice `without pictures or conversation?'","alice's adventures in wonderland alice's adventures in wonderland lewis carroll the millennium fulcrum edition 3.0 chapter i down the rabbit-hole alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought alice 'without pictures or conversation?'",567,-0.3604,-0.3377777777777778,-0.9994844198226929
1,"So she was considering in her own mind (as well as she could,
for the hot day made her feel very sleepy and stupid), whether
the pleasure of making a daisy-chain would be worth the trouble
of getting up and picking the daisies, when suddenly a White
Rabbit with pink eyes ran close by her.","so she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a white rabbit with pink eyes ran close by her.",289,0.0865,0.03125,-0.9919517636299133
2,"There was nothing so VERY remarkable in that; nor did Alice
think it so VERY much out of the way to hear the Rabbit say to
itself, `Oh dear!","there was nothing so very remarkable in that; nor did alice think it so very much out of the way to hear the rabbit say to itself, 'oh dear!",140,-0.2591,0.65,-0.9909819960594177
3,Oh dear!,oh dear!,8,0.4389,0.0,0.9983845949172974
4,I shall be late!',i shall be late!,17,0.0,-0.375,-0.9987350106239319
5,"(when she thought
it over afterwards, it occurred to her that she ought to have
wondered at this, but at the time it all seemed quite natural);
but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-
POCKET, and looked at it, and then hurried on, Alice started to
her feet, for it flashed across her mind that she had never
before seen a rabbit with either a waistcoat-pocket, or a watch to
take out of it, and burning with curiosity, she ran across the
field after it, and fortunately was just in time to see it pop
down a large rabbit-hole under the hedge.","(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural); but when the rabbit actually took a watch out of its waistcoat- pocket, and looked at it, and then hurried on, alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.",566,0.5704,0.11174603174603175,-0.5706943273544312
6,"In another moment down went Alice after it, never once
considering how in the world she was to get out again.","in another moment down went alice after it, never once considering how in the world she was to get out again.",109,0.0,-0.15555555555555559,-0.9580327272415161
7,"The rabbit-hole went straight on like a tunnel for some way,
and then dipped suddenly down, so suddenly that Alice had not a
moment to think about stopping herself before she found herself
falling down a very deep well.","the rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that alice had not a moment to think about stopping herself before she found herself falling down a very deep well.",219,0.5542,-0.022222222222222233,-0.9944534301757812
8,"Either the well was very deep, or she fell very slowly, for she
had plenty of time as she went down to look about her and to
wonder what was going to happen next.","either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.",162,0.2732,-0.13638888888888892,-0.9900718927383423
9,"First, she tried to look
down and make out what she was coming to, but it was too dark to
see anything; then she looked at the sides of the well, and
noticed that they were filled with cupboards and book-shelves;
here and there she saw maps and pictures hung upon pegs.","first, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.",269,0.3919,0.08611111111111111,-0.9982247948646545
10,"She
took down a jar from one of the shelves as she passed; it was
labelled `ORANGE MARMALADE', but to her great disappointment it
was empty:  she did not like to drop the jar for fear of killing
somebody, so managed to put it into one of the cupboards as she
fell past it.","she took down a jar from one of the shelves as she passed; it was labelled 'orange marmalade', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.",272,-0.916,-0.061111111111111095,-0.999335527420044
11,`Well!','well!',7,0.3382,0.0,0.9996271133422852
12,"thought Alice to herself, `after such a fall as this, I
shall think nothing of tumbling down stairs!","thought alice to herself, 'after such a fall as this, i shall think nothing of tumbling down stairs!",100,0.0,-0.09722222222222224,-0.965200662612915
13,"How brave they'll
all think me at home!",how brave they will all think me at home!,39,0.5707,1.0,0.9996607899665833
14,"Why, I wouldn't say anything about it,
even if I fell off the top of the house!'","why, i would not say anything about it, even if i fell off the top of the house!",80,0.2714,0.625,-0.999358057975769
15,"(Which was very likely
true.)",(which was very likely true.),29,0.4728,0.175,0.9975616335868835
